chunk_id,strategy,paragraph_ids,text,word_count
overlap_011,overlap,"[11, 12]","A UIUC student with internship recruiting experience offers resume reviews, LinkedIn feedback, and interview preparation for students applying to internships, campus jobs, and entry-level roles. Sessions focus on organizing experience clearly, strengthening bullet points with measurable results, and tailoring application materials to specific industries. The coach can also help with elevator pitches, behavioral interview questions, and general recruiting timelines for tech, consulting, business, and research opportunities. Clients may send documents in advance for written comments before the live session begins. Meetings are held virtually or in quiet campus locations, and follow-up notes are included after each appointment. This service is ideal for students who want practical application advice from someone recently familiar with the recruiting process. A UIUC design student offers graphic design services for event flyers, logos, social media posts, pitch deck visuals, and simple brand kits. Clients can request a specific tone such as minimal, playful, elegant, or bold, and the designer will create concepts that fit the audience and purpose of the project. The process typically includes an initial consultation, one or two draft directions, and revisions based on feedback. Designs are created using industry-standard tools and delivered in formats suitable for print and digital posting. Student organizations often use this service for recruitment posters, fundraiser graphics, and merch mockups. This listing is a strong fit for anyone who wants polished visuals quickly without the cost of a full professional agency.",234
overlap_012,overlap,"[12, 13]","A UIUC design student offers graphic design services for event flyers, logos, social media posts, pitch deck visuals, and simple brand kits. Clients can request a specific tone such as minimal, playful, elegant, or bold, and the designer will create concepts that fit the audience and purpose of the project. The process typically includes an initial consultation, one or two draft directions, and revisions based on feedback. Designs are created using industry-standard tools and delivered in formats suitable for print and digital posting. Student organizations often use this service for recruitment posters, fundraiser graphics, and merch mockups. This listing is a strong fit for anyone who wants polished visuals quickly without the cost of a full professional agency. A UIUC student developer builds simple websites for student organizations, portfolios, personal brands, and small campus ventures. Services can include landing pages, multi-page sites, mobile-friendly layouts, contact forms, and basic backend integrations depending on project needs. The developer works with clients to understand the site's goals, visual style, required sections, and deadline, then delivers a clean and responsive final product. Technologies may include HTML, CSS, JavaScript, React, and lightweight hosting-friendly setups. Clients can also request maintenance help for updates after launch. This service is especially helpful for clubs needing a clearer online presence or students who want a professional portfolio site before internship recruiting. Clear communication and milestone check-ins are part of every project.",232
overlap_013,overlap,"[13, 14]","A UIUC student developer builds simple websites for student organizations, portfolios, personal brands, and small campus ventures. Services can include landing pages, multi-page sites, mobile-friendly layouts, contact forms, and basic backend integrations depending on project needs. The developer works with clients to understand the site's goals, visual style, required sections, and deadline, then delivers a clean and responsive final product. Technologies may include HTML, CSS, JavaScript, React, and lightweight hosting-friendly setups. Clients can also request maintenance help for updates after launch. This service is especially helpful for clubs needing a clearer online presence or students who want a professional portfolio site before internship recruiting. Clear communication and milestone check-ins are part of every project. A student editor offers video editing for TikTok clips, YouTube uploads, club recaps, presentations, and short promotional content. Services include trimming footage, improving pacing, adding subtitles, inserting music, color balancing, and organizing clips into a more polished final story. Clients can share a rough idea, reference style, or specific platform requirements, and the editor will shape the material to match the intended audience. Fast turnaround is available for short-form content when schedules permit. The editor has experience working with talking-head videos, event footage, and montage-style edits for organizations and personal creators. This listing is useful for students who have raw footage ready but need help transforming it into engaging content that looks more intentional and professional.",230
overlap_014,overlap,"[14, 15]","A student editor offers video editing for TikTok clips, YouTube uploads, club recaps, presentations, and short promotional content. Services include trimming footage, improving pacing, adding subtitles, inserting music, color balancing, and organizing clips into a more polished final story. Clients can share a rough idea, reference style, or specific platform requirements, and the editor will shape the material to match the intended audience. Fast turnaround is available for short-form content when schedules permit. The editor has experience working with talking-head videos, event footage, and montage-style edits for organizations and personal creators. This listing is useful for students who have raw footage ready but need help transforming it into engaging content that looks more intentional and professional. A UIUC student offers moving help during move-in, move-out, sublease changes, and apartment furniture pickups. Support can include carrying boxes, disassembling small furniture, organizing loading order, and helping transport items between buildings when arranged in advance. The service is especially popular at the beginning and end of semesters, when elevators, parking, and scheduling can become stressful. Clients should share the building location, number of stairs, and item types before booking so the workload can be estimated fairly. Hourly rates are available, and two-person help may be coordinated for heavier jobs depending on timing. This listing is ideal for students without a car or those who need an extra set of hands to make a demanding move more manageable.",234
overlap_015,overlap,"[15, 16]","A UIUC student offers moving help during move-in, move-out, sublease changes, and apartment furniture pickups. Support can include carrying boxes, disassembling small furniture, organizing loading order, and helping transport items between buildings when arranged in advance. The service is especially popular at the beginning and end of semesters, when elevators, parking, and scheduling can become stressful. Clients should share the building location, number of stairs, and item types before booking so the workload can be estimated fairly. Hourly rates are available, and two-person help may be coordinated for heavier jobs depending on timing. This listing is ideal for students without a car or those who need an extra set of hands to make a demanding move more manageable. A student cleaner provides light cleaning services for dorm rooms, apartments, and shared student living spaces near UIUC. Services can include vacuuming, sweeping, wiping surfaces, bathroom cleaning, kitchen cleanup, trash removal, and general tidying before guests arrive or inspections take place. Clients can request one-time help or recurring visits depending on availability. Cleaning supplies can be provided by the cleaner for common tasks, though clients should mention any sensitivities, pets, or special product preferences before the appointment. The focus is on restoring spaces to a fresher, more organized condition rather than deep restoration work. This listing is helpful for busy students balancing classes and work who want a cleaner living environment without spending an entire afternoon doing it themselves.",237
overlap_016,overlap,"[16, 17]","A student cleaner provides light cleaning services for dorm rooms, apartments, and shared student living spaces near UIUC. Services can include vacuuming, sweeping, wiping surfaces, bathroom cleaning, kitchen cleanup, trash removal, and general tidying before guests arrive or inspections take place. Clients can request one-time help or recurring visits depending on availability. Cleaning supplies can be provided by the cleaner for common tasks, though clients should mention any sensitivities, pets, or special product preferences before the appointment. The focus is on restoring spaces to a fresher, more organized condition rather than deep restoration work. This listing is helpful for busy students balancing classes and work who want a cleaner living environment without spending an entire afternoon doing it themselves. A UIUC student offers laundry service for students who are overwhelmed by coursework, work shifts, or travel. The service includes picking up a bag of clothing, washing and drying items according to care instructions, neatly folding the finished load, and returning it within an agreed window. Clients can specify fragrance preferences, delicate items, hang-dry needs, and any garments that should be separated. This service is especially helpful for students living in apartments with limited machines or dorms where laundry time is difficult to find. Rates are generally set by bag size or load size to keep pricing simple. This listing is convenient for people who want to save time and avoid spending late nights waiting on washers and dryers.",238
overlap_017,overlap,"[17, 18]","A UIUC student offers laundry service for students who are overwhelmed by coursework, work shifts, or travel. The service includes picking up a bag of clothing, washing and drying items according to care instructions, neatly folding the finished load, and returning it within an agreed window. Clients can specify fragrance preferences, delicate items, hang-dry needs, and any garments that should be separated. This service is especially helpful for students living in apartments with limited machines or dorms where laundry time is difficult to find. Rates are generally set by bag size or load size to keep pricing simple. This listing is convenient for people who want to save time and avoid spending late nights waiting on washers and dryers. A student bike mechanic offers affordable repairs for campus commuters who rely on bicycles to get to class, work, and appointments. Common services include fixing flat tires, replacing tubes, adjusting brakes, tightening chains, aligning gears, and performing general tune-ups to improve ride quality. Customers can describe the problem in advance and send photos if they are unsure what is wrong. The mechanic aims for quick turnaround, especially for essential repairs that affect daily transportation. Basic maintenance guidance is also provided so riders can prevent future issues. This listing is a practical option for students who want a lower-cost alternative to a shop and need dependable help keeping an older bike safe and functional.",232
overlap_018,overlap,"[18, 19]","A student bike mechanic offers affordable repairs for campus commuters who rely on bicycles to get to class, work, and appointments. Common services include fixing flat tires, replacing tubes, adjusting brakes, tightening chains, aligning gears, and performing general tune-ups to improve ride quality. Customers can describe the problem in advance and send photos if they are unsure what is wrong. The mechanic aims for quick turnaround, especially for essential repairs that affect daily transportation. Basic maintenance guidance is also provided so riders can prevent future issues. This listing is a practical option for students who want a lower-cost alternative to a shop and need dependable help keeping an older bike safe and functional. A UIUC student provides tech support for common laptop, tablet, and phone issues affecting school or personal use. Services include software installation, troubleshooting slow performance, printer setup, storage cleanup, Wi-Fi connection issues, and assistance with account configuration. Clients can also get help transferring files to a new device, setting up productivity tools, or diagnosing whether a problem looks fixable before paying for a repair shop. Appointments can be done in person for hands-on support or over video call for software problems. The goal is to explain solutions clearly so clients understand what changed rather than feeling lost in technical terms. This listing is ideal for students who need affordable, patient help when technology problems disrupt their routine.",230
overlap_019,overlap,"[19, 20]","A UIUC student provides tech support for common laptop, tablet, and phone issues affecting school or personal use. Services include software installation, troubleshooting slow performance, printer setup, storage cleanup, Wi-Fi connection issues, and assistance with account configuration. Clients can also get help transferring files to a new device, setting up productivity tools, or diagnosing whether a problem looks fixable before paying for a repair shop. Appointments can be done in person for hands-on support or over video call for software problems. The goal is to explain solutions clearly so clients understand what changed rather than feeling lost in technical terms. This listing is ideal for students who need affordable, patient help when technology problems disrupt their routine. A bilingual UIUC student offers language tutoring in Spanish and Mandarin for beginners and intermediate learners. Lessons can focus on conversation practice, pronunciation, grammar, vocabulary review, listening exercises, or class support depending on the student's goals. Sessions are adapted for people preparing for exams as well as those who simply want more confidence speaking in everyday situations. The tutor can create custom review sheets and short practice assignments between meetings to reinforce progress. In-person sessions can take place on campus, while online meetings are also available for convenience. This listing is especially useful for students who want more interactive practice than they receive in class and prefer learning with a flexible, conversational style.",230
overlap_020,overlap,"[20, 21]","A bilingual UIUC student offers language tutoring in Spanish and Mandarin for beginners and intermediate learners. Lessons can focus on conversation practice, pronunciation, grammar, vocabulary review, listening exercises, or class support depending on the student's goals. Sessions are adapted for people preparing for exams as well as those who simply want more confidence speaking in everyday situations. The tutor can create custom review sheets and short practice assignments between meetings to reinforce progress. In-person sessions can take place on campus, while online meetings are also available for convenience. This listing is especially useful for students who want more interactive practice than they receive in class and prefer learning with a flexible, conversational style. A UIUC student is selling a bundle of used textbooks from introductory business, economics, calculus, and engineering courses. Most books are in good condition with clean covers, intact bindings, and limited highlighting that does not interfere with reading. Several titles include access to practice problems, chapter summaries, or solved example sections that are still useful even without online codes. Buyers can purchase individual books or negotiate a discounted price for multiple titles at once. Pickup is available near campus, and sellers are willing to check edition numbers against your syllabus before finalizing a sale. This listing is a strong option for students who want to reduce semester costs while still getting reliable physical materials for studying and reference.",231
overlap_021,overlap,"[21, 22]","A UIUC student is selling a bundle of used textbooks from introductory business, economics, calculus, and engineering courses. Most books are in good condition with clean covers, intact bindings, and limited highlighting that does not interfere with reading. Several titles include access to practice problems, chapter summaries, or solved example sections that are still useful even without online codes. Buyers can purchase individual books or negotiate a discounted price for multiple titles at once. Pickup is available near campus, and sellers are willing to check edition numbers against your syllabus before finalizing a sale. This listing is a strong option for students who want to reduce semester costs while still getting reliable physical materials for studying and reference. A gently used ergonomic desk chair is available for sale near UIUC and works well for studying, gaming, or long sessions at a home desk. The chair features adjustable height, rolling wheels, padded armrests, and supportive back cushioning designed to make extended sitting more comfortable. The fabric is clean, the base is stable, and all adjustment levers function properly. Because many student apartments come with basic seating, this upgrade is especially useful for people setting up a better workspace during the semester. The seller can provide dimensions and additional photos so buyers can confirm the chair fits their room. This listing is ideal for students who want improved comfort without paying full retail price for new furniture.",235
overlap_022,overlap,"[22, 23]","A gently used ergonomic desk chair is available for sale near UIUC and works well for studying, gaming, or long sessions at a home desk. The chair features adjustable height, rolling wheels, padded armrests, and supportive back cushioning designed to make extended sitting more comfortable. The fabric is clean, the base is stable, and all adjustment levers function properly. Because many student apartments come with basic seating, this upgrade is especially useful for people setting up a better workspace during the semester. The seller can provide dimensions and additional photos so buyers can confirm the chair fits their room. This listing is ideal for students who want improved comfort without paying full retail price for new furniture. A compact mini fridge is being sold by a UIUC student who no longer needs it after moving to an apartment with a full kitchen. The appliance includes a small freezer compartment, adjustable temperature settings, and enough interior room for drinks, snacks, meal prep containers, and basic groceries. It has been cleaned thoroughly and kept in a smoke-free environment. The fridge is a practical addition for dorm rooms, study spaces, or bedrooms where quick access to food is convenient. The seller can share exact dimensions, estimated capacity, and pickup details for interested buyers. This listing is especially useful for students who want dependable cold storage without buying a new unit at the start of the semester.",233
overlap_023,overlap,"[23, 24]","A compact mini fridge is being sold by a UIUC student who no longer needs it after moving to an apartment with a full kitchen. The appliance includes a small freezer compartment, adjustable temperature settings, and enough interior room for drinks, snacks, meal prep containers, and basic groceries. It has been cleaned thoroughly and kept in a smoke-free environment. The fridge is a practical addition for dorm rooms, study spaces, or bedrooms where quick access to food is convenient. The seller can share exact dimensions, estimated capacity, and pickup details for interested buyers. This listing is especially useful for students who want dependable cold storage without buying a new unit at the start of the semester. A lightly used microwave is available for sale and is suitable for reheating meals, making quick snacks, and handling everyday apartment or dorm cooking needs. The unit includes multiple power levels, a digital timer, and standard preset buttons that make it easy to use. It has been kept clean, heats evenly, and is being sold only because the owner is relocating. For students furnishing their first apartment, this can be a cost-effective way to add convenience without buying a brand-new appliance. The seller can provide measurements and a demonstration at pickup if requested. This listing is ideal for buyers who want a basic, functional microwave for regular daily use at an affordable student-friendly price.",230
overlap_024,overlap,"[24, 25]","A lightly used microwave is available for sale and is suitable for reheating meals, making quick snacks, and handling everyday apartment or dorm cooking needs. The unit includes multiple power levels, a digital timer, and standard preset buttons that make it easy to use. It has been kept clean, heats evenly, and is being sold only because the owner is relocating. For students furnishing their first apartment, this can be a cost-effective way to add convenience without buying a brand-new appliance. The seller can provide measurements and a demonstration at pickup if requested. This listing is ideal for buyers who want a basic, functional microwave for regular daily use at an affordable student-friendly price. A used laptop in solid working condition is available for sale near UIUC and is suitable for coursework, online classes, browsing, document editing, and light programming. The device has a reliable battery for everyday use, a functioning webcam for meetings, and enough storage for academic files and common software. Cosmetic wear is minor and does not affect performance. The seller can share processor details, memory specifications, charger information, and current system condition so buyers know exactly what they are getting. This listing is especially helpful for students who need a secondary device, an affordable replacement, or a general-purpose computer without spending the price of a new model at the campus bookstore or electronics store.",228
overlap_025,overlap,"[25, 26]","A used laptop in solid working condition is available for sale near UIUC and is suitable for coursework, online classes, browsing, document editing, and light programming. The device has a reliable battery for everyday use, a functioning webcam for meetings, and enough storage for academic files and common software. Cosmetic wear is minor and does not affect performance. The seller can share processor details, memory specifications, charger information, and current system condition so buyers know exactly what they are getting. This listing is especially helpful for students who need a secondary device, an affordable replacement, or a general-purpose computer without spending the price of a new model at the campus bookstore or electronics store. A 24-inch external monitor is available for sale and works well for studying, coding, gaming, or building a dual-screen workstation in a dorm or apartment. The display offers clear image quality, a comfortable size for multitasking, and common connection options such as HDMI for easy setup with laptops and consoles. The screen has been tested and performs normally with no major dead pixels or flickering issues reported. The stand is stable, and the monitor is being sold because the owner is downsizing their setup. Buyers can request photos of the display while powered on. This listing is a practical choice for students who want more screen space for assignments, design work, or entertainment without buying new electronics.",231
overlap_026,overlap,"[26, 27]","A 24-inch external monitor is available for sale and works well for studying, coding, gaming, or building a dual-screen workstation in a dorm or apartment. The display offers clear image quality, a comfortable size for multitasking, and common connection options such as HDMI for easy setup with laptops and consoles. The screen has been tested and performs normally with no major dead pixels or flickering issues reported. The stand is stable, and the monitor is being sold because the owner is downsizing their setup. Buyers can request photos of the display while powered on. This listing is a practical choice for students who want more screen space for assignments, design work, or entertainment without buying new electronics. A DSLR camera kit is being sold by a UIUC student and is a strong starter option for photography enthusiasts, content creators, or campus organizations needing better image quality than a phone can provide. The package includes the camera body, a standard lens, battery, charger, and basic accessories needed to start shooting immediately. The camera has been used carefully and remains in good functional condition, with clear image capture and responsive controls. It is suitable for portraits, event photography, and learning manual settings such as shutter speed and aperture. The seller can provide the approximate shutter count and sample images on request. This listing is ideal for buyers who want a capable camera setup at a lower price than a new kit.",239
overlap_027,overlap,"[27, 28]","A DSLR camera kit is being sold by a UIUC student and is a strong starter option for photography enthusiasts, content creators, or campus organizations needing better image quality than a phone can provide. The package includes the camera body, a standard lens, battery, charger, and basic accessories needed to start shooting immediately. The camera has been used carefully and remains in good functional condition, with clear image capture and responsive controls. It is suitable for portraits, event photography, and learning manual settings such as shutter speed and aperture. The seller can provide the approximate shutter count and sample images on request. This listing is ideal for buyers who want a capable camera setup at a lower price than a new kit. A wireless printer is available for sale and is well suited for students who want the convenience of printing assignments, scanning forms, and making occasional copies from home. The unit connects through Wi-Fi, supports standard black-and-white and color printing, and has been used primarily for school documents. It is in good working condition and comes with the power cable, with remaining ink status shared upon request. For apartment living, having a home printer can save time during busy deadlines when campus labs are crowded or closed. The seller can verify compatibility with common operating systems before pickup. This listing is a useful option for students who need a reliable printer setup without paying full retail for a new machine.",241
overlap_028,overlap,"[28, 29]","A wireless printer is available for sale and is well suited for students who want the convenience of printing assignments, scanning forms, and making occasional copies from home. The unit connects through Wi-Fi, supports standard black-and-white and color printing, and has been used primarily for school documents. It is in good working condition and comes with the power cable, with remaining ink status shared upon request. For apartment living, having a home printer can save time during busy deadlines when campus labs are crowded or closed. The seller can verify compatibility with common operating systems before pickup. This listing is a useful option for students who need a reliable printer setup without paying full retail for a new machine. A sturdy metal bed frame is being sold near UIUC and is compatible with common twin or full mattress sizes depending on configuration. The frame offers raised under-bed clearance that is useful for storage bins, suitcases, and extra seasonal items in smaller student apartments. It is designed for straightforward assembly and can be disassembled for transport, which makes pickup simpler for buyers moving between leases. The frame has been used indoors, remains structurally sound, and shows only normal cosmetic wear from regular use. The seller can provide measurements, hardware details, and photos of the assembled setup. This listing is ideal for students furnishing an apartment on a budget who still want a stable sleeping setup with useful storage space underneath.",239
overlap_029,overlap,"[29, 30]","A sturdy metal bed frame is being sold near UIUC and is compatible with common twin or full mattress sizes depending on configuration. The frame offers raised under-bed clearance that is useful for storage bins, suitcases, and extra seasonal items in smaller student apartments. It is designed for straightforward assembly and can be disassembled for transport, which makes pickup simpler for buyers moving between leases. The frame has been used indoors, remains structurally sound, and shows only normal cosmetic wear from regular use. The seller can provide measurements, hardware details, and photos of the assembled setup. This listing is ideal for students furnishing an apartment on a budget who still want a stable sleeping setup with useful storage space underneath. A clean foam mattress is available for sale and offers comfortable support for a dorm, apartment, or short-term sublease setup near UIUC. The mattress has been used with a protective cover, stored indoors, and maintained in a clean environment. It provides a balanced feel that works well for students who want an affordable bed option without sacrificing basic comfort. Because buying a mattress new can be expensive during move-in season, this listing offers a lower-cost alternative for someone furnishing a room quickly. The seller can share dimensions, thickness, and pickup timing, and buyers are welcome to inspect the mattress before deciding. This listing is best for students seeking a straightforward, ready-to-use sleep setup at a reasonable price.",237
